字重A,字重B,字重间隔,MAE,MSE,RMSE,PSNR(dB),SSIM,LPIPS,MAE_墨色区
Light,Medium,1,12.5781,3182.2714,56.4116,13.1034,0.875415,0.119502,70.2297
Light,SemiBold,2,19.5286,4940.7267,70.2903,11.1929,0.840186,0.183255,95.6982
Light,Bold,3,29.3763,7432.213,86.2103,9.4196,0.79812,0.264797,122.4238
Light,Heavy,4,41.0892,10395.5737,101.9587,7.9623,0.748925,0.348504,145.1711
Medium,SemiBold,1,7.5576,1912.0768,43.7273,15.3158,0.904596,0.075256,37.7669
Medium,Bold,2,18.3263,4636.5559,68.0923,11.4688,0.846872,0.171883,77.0583
Medium,Heavy,3,30.9176,7822.1558,88.443,9.1975,0.789299,0.282263,109.3871
SemiBold,Bold,1,11.6147,2938.5252,54.2082,13.4495,0.879577,0.109423,49.2592
SemiBold,Heavy,2,24.7424,6259.8242,79.1191,10.1652,0.815471,0.231108,87.8424
Bold,Heavy,1,14.1053,3568.6298,59.738,12.6058,0.866333,0.134741,50.9075
